year,O_D,Team,Tot Pts,RushYds,PassYds,TotYds
2008,offense,New Orleans Saints,463,1594,4977,6571
2008,offense,Arizona Cardinals,427,1178,4674,5852
2008,offense,Atlanta Falcons,391,2443,3336,5779
2008,offense,New York Giants,427,2518,3177,5695
2008,offense,Green Bay Packers,419,1805,3813,5618
2008,offense,Philadelphia Eagles,416,1697,3911,5608
2008,offense,Carolina Panthers,414,2437,3158,5595
2008,offense,Dallas Cowboys,362,1723,3789,5512
2008,offense,Tampa Bay Buccaneers,361,1837,3619,5456
2008,offense,Minnesota Vikings,379,2338,2956,5294
2008,offense,Washington Redskins,265,2095,3025,5120
2008,offense,San Francisco 49ers,339,1599,3379,4978
2008,offense,Chicago Bears,375,1673,3061,4734
2008,offense,St. Louis Rams,232,1649,2947,4596
2008,offense,Seattle Seahawks,294,1768,2617,4385
2008,offense,Detroit Lions,268,1332,2960,4292
2009,offense,New Orleans Saints,510,2106,4355,6461
2009,offense,Dallas Cowboys,361,2103,4287,6390
2009,offense,Minnesota Vikings,470,1918,4156,6074
2009,offense,Green Bay Packers,461,1885,4180,6065
2009,offense,New York Giants,402,1837,4019,5856
2009,offense,Philadelphia Eagles,429,1637,4089,5726
2009,offense,Arizona Cardinals,375,1494,4016,5510
2009,offense,Atlanta Falcons,363,1876,3571,5447
2009,offense,Carolina Panthers,315,2498,2799,5297
2009,offense,Seattle Seahawks,280,1566,3503,5069
2009,offense,Washington Redskins,266,1510,3490,5000
2009,offense,Chicago Bears,327,1492,3473,4965
2009,offense,Detroit Lions,262,1616,3168,4784
2009,offense,San Francisco 49ers,330,1600,3052,4652
2009,offense,Tampa Bay Buccaneers,244,1627,2973,4600
2009,offense,St. Louis Rams,175,1784,2686,4470
2010,offense,Philadelphia Eagles,439,2324,3906,6230
2010,offense,New York Giants,394,2200,3885,6085
2010,offense,New Orleans Saints,384,1519,4441,5960
2010,offense,Dallas Cowboys,394,1786,4042,5828
2010,offense,Green Bay Packers,388,1606,4124,5730
2010,offense,Atlanta Falcons,414,1891,3567,5458
2010,offense,Detroit Lions,362,1613,3810,5423
2010,offense,Washington Redskins,302,1461,3913,5374
2010,offense,Tampa Bay Buccaneers,341,2001,3361,5362
2010,offense,Minnesota Vikings,281,1942,3097,5039
2010,offense,San Francisco 49ers,305,1657,3356,5013
2010,offense,St. Louis Rams,289,1578,3268,4846
2010,offense,Seattle Seahawks,310,1424,3341,4765
2010,offense,Chicago Bears,334,1616,3015,4631
2010,offense,Arizona Cardinals,289,1388,2921,4309
2010,offense,Carolina Panthers,196,1846,2289,4135
2011,offense,New Orleans Saints,547,2127,5347,7474
2011,offense,Green Bay Packers,560,1558,4924,6482
2011,offense,Philadelphia Eagles,396,2276,4110,6386
2011,offense,Detroit Lions,474,1523,4814,6337
2011,offense,Carolina Panthers,406,2408,3829,6237
2011,offense,New York Giants,394,1427,4734,6161
2011,offense,Atlanta Falcons,402,1834,4192,6026
2011,offense,Dallas Cowboys,369,1807,4201,6008
2011,offense,Washington Redskins,288,1614,3773,5387
2011,offense,Minnesota Vikings,340,2318,2957,5275
2011,offense,Arizona Cardinals,312,1625,3567,5192
2011,offense,Tampa Bay Buccaneers,287,1458,3650,5108
2011,offense,Chicago Bears,353,2015,3011,5026
2011,offense,San Francisco 49ers,380,2044,2930,4974
2011,offense,Seattle Seahawks,321,1756,3105,4861
2011,offense,St. Louis Rams,193,1667,2870,4537
2012,offense,New Orleans Saints,461,1577,4997,6574
2012,offense,Detroit Lions,372,1613,4927,6540
2012,offense,Washington Redskins,436,2709,3422,6131
2012,offense,Dallas Cowboys,376,1265,4729,5994
2012,offense,Atlanta Falcons,419,1397,4509,5906
2012,offense,Tampa Bay Buccaneers,389,1837,3983,5820
2012,offense,San Francisco 49ers,397,2491,3298,5789
2012,offense,Carolina Panthers,357,2088,3683,5771
2012,offense,Green Bay Packers,433,1702,4049,5751
2012,offense,New York Giants,429,1862,3825,5687
2012,offense,Philadelphia Eagles,280,1874,3791,5665
2012,offense,Seattle Seahawks,412,2579,3031,5610
2012,offense,Minnesota Vikings,379,2634,2751,5385
2012,offense,St. Louis Rams,299,1714,3550,5264
2012,offense,Chicago Bears,375,1970,2999,4969
2012,offense,Arizona Cardinals,250,1204,3005,4209
2013,offense,Philadelphia Eagles,442,2566,4110,6676
2013,offense,Green Bay Packers,417,2136,4268,6404
2013,offense,New Orleans Saints,414,1473,4918,6391
2013,offense,Detroit Lions,395,1792,4482,6274
2013,offense,Chicago Bears,445,1828,4281,6109
2013,offense,Washington Redskins,334,2164,3751,5915
2013,offense,Arizona Cardinals,379,1540,4002,5542
2013,offense,Minnesota Vikings,391,2081,3427,5508
2013,offense,Atlanta Falcons,353,1247,4243,5490
2013,offense,Dallas Cowboys,439,1504,3954,5458
2013,offense,Seattle Seahawks,417,2188,3236,5424
2013,offense,San Francisco 49ers,406,2201,2979,5180
2013,offense,Carolina Panthers,366,2026,3043,5069
2013,offense,New York Giants,294,1332,3588,4920
2013,offense,St. Louis Rams,348,1752,3125,4877
2013,offense,Tampa Bay Buccaneers,288,1612,2820,4432
2014,offense,New Orleans Saints,401,1818,4764,6582
2014,offense,Philadelphia Eagles,474,1992,4356,6348
2014,offense,Green Bay Packers,486,1917,4261,6178
2014,offense,Dallas Cowboys,467,2354,3784,6138
2014,offense,Atlanta Falcons,381,1498,4553,6051
2014,offense,Seattle Seahawks,394,2762,3250,6012
2014,offense,New York Giants,380,1603,4272,5875
2014,offense,Washington Redskins,301,1691,4047,5738
2014,offense,Carolina Panthers,339,2036,3511,5547
2014,offense,Detroit Lions,321,1422,4030,5452
2014,offense,San Francisco 49ers,306,2176,3063,5239
2014,offense,Chicago Bears,319,1441,3792,5233
2014,offense,Arizona Cardinals,310,1308,3808,5116
2014,offense,Minnesota Vikings,325,1804,3244,5048
2014,offense,St. Louis Rams,324,1635,3400,5035
2014,offense,Tampa Bay Buccaneers,277,1375,3297,4672
2015,offense,Arizona Cardinals,489,1917,4616,6533
2015,offense,New Orleans Saints,408,1491,4970,6461
2015,offense,Seattle Seahawks,423,2268,3790,6058
2015,offense,Tampa Bay Buccaneers,342,2162,3852,6014
2015,offense,Atlanta Falcons,339,1606,4379,5985
2015,offense,New York Giants,420,1609,4343,5952
2015,offense,Carolina Panthers,500,2282,3589,5871
2015,offense,Philadelphia Eagles,377,1743,4087,5830
2015,offense,Washington Redskins,388,1566,4095,5661
2015,offense,Detroit Lions,358,1335,4212,5547
2015,offense,Chicago Bears,335,1854,3660,5514
2015,offense,Dallas Cowboys,275,1890,3471,5361
2015,offense,Green Bay Packers,368,1850,3503,5353
2015,offense,Minnesota Vikings,365,2211,2928,5139
2015,offense,San Francisco 49ers,238,1544,3316,4860
2015,offense,St. Louis Rams,280,1956,2805,4761
2016,offense,New Orleans Saints,469,1742,5074,6816
2016,offense,Atlanta Falcons,540,1928,4725,6653
2016,offense,Washington Redskins,396,1696,4758,6454
2016,offense,Dallas Cowboys,421,2396,3631,6027
2016,offense,Green Bay Packers,432,1701,4199,5900
2016,offense,Arizona Cardinals,418,1732,4136,5868
2016,offense,Seattle Seahawks,354,1591,4124,5715
2016,offense,Chicago Bears,279,1735,3969,5704
2016,offense,Tampa Bay Buccaneers,354,1616,3926,5542
2016,offense,Carolina Panthers,369,1814,3685,5499
2016,offense,Detroit Lions,346,1310,4111,5421
2016,offense,Philadelphia Eagles,367,1813,3585,5398
2016,offense,New York Giants,310,1412,3879,5291
2016,offense,Minnesota Vikings,327,1205,3836,5041
2016,offense,San Francisco 49ers,309,2019,2911,4930
2016,offense,Los Angeles Rams,224,1252,2951,4203
2017,offense,New Orleans Saints,448,2070,4189,6259
2017,offense,Philadelphia Eagles,457,2115,3737,5852
2017,offense,Atlanta Falcons,353,1847,3990,5837
2017,offense,Tampa Bay Buccaneers,335,1450,4366,5816
2017,offense,Los Angeles Rams,478,1953,3831,5784
2017,offense,Minnesota Vikings,382,1957,3753,5710
2017,offense,San Francisco 49ers,331,1662,3925,5587
2017,offense,Detroit Lions,410,1221,4183,5404
2017,offense,Dallas Cowboys,354,2170,3141,5311
2017,offense,Seattle Seahawks,366,1629,3657,5286
2017,offense,Washington Redskins,342,1448,3751,5199
2017,offense,Carolina Panthers,363,2102,3077,5179
2017,offense,New York Giants,246,1549,3479,5028
2017,offense,Arizona Cardinals,295,1386,3640,5026
2017,offense,Green Bay Packers,320,1724,3167,4891
2017,offense,Chicago Bears,264,1788,2811,4599
2018,offense,Tampa Bay Buccaneers,294,1083,3914,4997
2018,offense,Los Angeles Rams,389,1524,3411,4935
